image_id,caption,model_id,count
20,two boys taking photos around a girl,-1,3
20, two boys taking photos around a girl,-1,2
874, a male and female couple walking arm in arm,-1,2
888, a corpse with a sword stabbed in the chest and rose vines wrapped around it,-1,2
901, raise your right foot higher than your head,-1,2
913, a woman hiding her right eye with hair,-1,2
915, a woman sitting on the stairs showing off her bare legs,-1,2
917, woman with a black frilled parasol,-1,2
947, the lifeless woman sitting on the chair,-1,2
949, a woman sticking out her feet and licking her lips,-1,2
956, a two-shot photo of a woman with green hair on the left and a woman with brown hair on the right,-1,2
957, woman lying on a chaise lounge,-1,2
973, a woman looking left and biting her right index finger,-1,2
978, a woman lying in a coffin covered with purple roses,-1,2
990, a woman shooting a gun towards the camera,-1,2
998, a woman standing with glasses in her hand,-1,2
999, a girl holding a blood-stained axe looking at the camera above,-1,2
1000, a girl with a mascot on her right shoulder licking the nail of her right index finger,-1,2
1016, a woman turning her head towards the camera facing right,-1,2
1031, a woman with horns adorned with piercings growing from her forehead,-1,2
1035, a girl standing with her left hand on her chest,-1,2
1039, a young girl holding a wine glass with red wine in her left hand,-1,2
1045, a woman singing on a cherry blossom branch facing left on the screen,-1,2
1048, a woman standing in the rain outside by a purple hydrangea,-1,2
1053, a girl turning back illuminated by the moonlight of a purplish full moon,-1,2
1054, the woman on the left side of the screen is wearing a light purple dress and the one on the right side is wearing a black dress,-1,2
1062, the corpse of a young girl with a golden sword intricately decorated in the chest,-1,2
1065, a woman sitting on the ground in front of a grave in the shade,-1,2
1082, a woman with a collar and chain laughing with her mouth open in nature,-1,2
1089, a woman who cuts open her own torso to show her bones and organs,-1,2
1094, a little girl extending her right hand towards the camera,-1,2
1095, a girl looking back to the left,-1,2
1096, the bride waves her hand full of joy into the distance,-1,2
1101, woman trapped in a cage shaped like a ghost lantern,-1,2
1104, there is a large monster with horns like a skeleton behind the woman in the black dress,-1,2
1114, a woman standing in front of a white curtain,-1,2
1115, a girl is standing against a background with a frilled frame,-1,2
1118, a woman standing in front of the stone steps of the shrine with pink hair on the right and black hair on the left,-1,2
1131, angel of a woman sitting on a pillar,-1,2
1132, a woman jumping with a megaphone in her right hand,-1,2
1137, hand reaching from outside the screen,-1,2
1142, mysterious woman holding a faintly glowing umbrella on a rainy night,-1,2
1168, a woman blowing cherry blossom petals in her hand against the backdrop of a temple with a five-story pagoda where cherry blossoms bloom,-1,2
1173, a woman brushing up her hair with her right hand,-1,2
1175, the woman just after having one eye gouged out,-1,2
1217, a woman shouldering a huge scythe,-1,2
1515, a boy in a maid outfit with a name tag written in hangul,-1,2
1532, a woman sitting on the throne holding a glass slipper in her left hand,-1,2
1798, in the mirror behind the woman standing hunched over,-1,2
1798, the back view of the woman is reflected,-1,2
2063, two girls practicing instruments in a greenhouse,-1,2
2224, a girl holding a cake with white snake decorations in her left hand,-1,2
2224, the girl in the black dress on the left and the girl in the red dress on the right are kissing,-1,2
2226, two dolls and a blood bag hanging from the wheelchair pole,-1,2
2227, a woman holding up a wine glass overflowing with red wine in her right hand,-1,2
2228, a girl looking up to the top right holding a cupcake in her left hand,-1,2
2231, the woman on the left of the screen has green hair,-1,2
2231, two women giving fellatio side by side to two men,-1,2
2232, a woman turning to the left,-1,2
2234, a sickly-looking woman who seems mentally ill,-1,2
2240, a brown rabbit is hanging on the girl in the black dress,-1,2
2242, a woman holding a box cutter in her right hand,-1,2
2253, a woman holding a crow on her right hand,-1,2
2261, a woman with a pink parasol against the blue sky,-1,2
2262, a painting of a melancholy woman sitting on a wooden chair,-1,2
2263, a woman looking back with cherry blossoms and a full moon visible through the open shoji screen,-1,2
2264, a woman holding down her skirt in a cherry blossom storm,-1,2
2267, a horseman sitting and facing left towards the camera,-1,2
2268, tea party in the meadow with a rabbit and a cat,-1,2
2271, a woman stretches her legs and puts on socks,-1,2
2274, a little girl lying down on a grand piano,-1,2
2277, the woman on the left is in pink and the woman on the right is in black,-1,2
2279, a woman flying with a card in her right hand and a spear in her left hand,-1,2
2281, a picture painted with a brush,-1,2
2281, holding a teacup in her right hand,-1,2
2285, an innocent girl swinging a knife covered in blood to the left,-1,2
2286, the back of a woman with the face of a horse facing left,-1,2
2288, a woman sitting on the edge of a brick flowerbed holding a cat,-1,2
2289, a woman with the face of a fox praying facing the upper right towards the camera,-1,2
2290, corpse wrapped in a giant spider's web,-1,2
2290, the upper body is a woman and the lower body is a cloud monster,-1,2
2293, little girl with dark skin swarming around a white ghost flame,-1,2
2294, in a field at dusk where a factory can be seen in the distance a woman is looking up at an airship in the sky,-1,2
2295, the bride is holding a bouquet of blue roses in her right hand against a backdrop of mysterious light and stained glass,-1,2
2297, a woman floating in the air with an umbrella,-1,2
2298, pokémon are gathering around a girl sitting on the floor,-1,2
2300, a woman sitting with her left side turned,-1,2
2300, holding her palm between her thighs,-1,2
2303, the woman who closed her left eye,-1,2
2304, a maid woman holding a parfait and a coffee cup in her left hand and a cake and a teacup in her right hand,-1,2
2305, a painting depicting the side of a woman's face on the right,-1,2
2305, holding a bouquet of flowers among autumn leaves,-1,2
2305, woman facing to the right side of the screen,-1,2
2306, hair with a sense of vitality,-1,2
2306, woman looking over her left shoulder,-1,2
2310, woman who turned left and raised her right leg,-1,2
2311, a woman sitting on the ground in the ruins of a chapel,-1,2
2311, facing to the right side of the screen,-1,2
2311, the red cape of fur trium,-1,2
3036, a small girl holding a pink suitcase in both hands looks down shyly at the entrance,-1,2
3037, holding an open fan in the right hand,-1,2
3038, woman facing to the right of the screen,-1,2
3042, a giant spirit's red arm on the right side of the woman,-1,2
3043, woman sitting on a red ball,-1,2
3045, woman lying on a chaise lounge,-1,2
3049, a rabbit with brown fur on the left and a cat with pink fur on the right,-1,2
3052, a woman holding a tree branch with a hanging lantern in her left hand,-1,2
3056, on the left is a cheerful-looking woman with brown hair and on the right is a man dressed as a woman with purple hair and an unhappy expression,-1,2
3058, girl with a dog skull face,-1,2
